ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,SampleVariable1
1,0,1.0000000,.0000000,1,1,-.91893853,.0000000
1,0,.34825944,.0000000,1,2,-4.0252810,2.4925258
1,0,.47728625,.27708751,1,2,-.93917364,-.20117208
1,0,.44144525,.12844696,1,3,-.94133118,.21162534
1,0,.48098555,.0000000,1,2,-1.0013267,.40592658
1,0,.52756976,.0000000,1,1,-1.0079366,.42189596
1,0,.46057263,.88984297E-01,1,4,-.95888695,-.28266027
1,0,.49428684,.69218737E-01,1,1,-.91903301,-.13745877E-01
1,0,.49589843,.0000000,1,1,-1.5697262,1.1408661
1,0,.49479526,.0000000,1,2,-1.5993305,-1.1665265
1,0,.44617608,.30337356E-01,1,5,-1.6588139,-1.2164501
1,0,.42413612,.59959116E-01,1,5,-1.8280596,1.3484221
1,0,.44333158,.0000000,1,1,-.99085837,.37926200
1,0,.44688108,.32241681E-01,1,2,-.96619653,.30743454
1,0,.44688590,.0000000,1,1,-1.7713035,1.3056531
1,0,.46058616,.0000000,1,1,-1.8626574,1.3738405
1,0,.44771594,.0000000,1,1,-6.4550695,3.3275008
1,0,.46305716,.46062094E-02,1,1,-2.5994977,1.8333353
1,0,.46887490,.0000000,1,1,-2.9876436,-2.0340625
1,0,.47117429,.0000000,1,2,-2.5368876,-1.7988603
1,0,.48439493,.88816066E-02,1,1,-1.7986540,-1.3264354
1,0,.49697066,.0000000,1,1,-1.4070960,-.98808649
1,0,.49891586,.0000000,1,2,-1.0493205,.51065044
1,0,.50728754,.14269564E-01,1,4,-1.1437778,.67058082
1,0,.48668847,.23793881E-01,1,5,-.92851181,-.13837105
1,0,.48816190,.0000000,1,2,-.91973077,-.39805394E-01
1,0,.48811291,.47571238E-01,1,2,-1.0138398,-.43566327
1,0,.49709339,.0000000,1,1,-.91951529,.33963368E-01
1,0,.49745407,.0000000,1,2,-.92373030,-.97895507E-01
1,0,.50073486,.22429738E-01,1,2,-.91903917,-.14187334E-01
1,0,.49292991,.0000000,1,1,-5.0037589,2.8582583
1,0,.49315118,.18296831E-01,1,2,-1.3085049,.88268499
1,0,.48400033,.0000000,1,2,-2.3302745,1.6800809
1,0,.49170182,.0000000,1,1,-1.2558987,.82092651
1,0,.49917679,.59775406E-03,1,1,-.94937622,-.24672934
1,0,.50446333,.0000000,1,1,-1.0956192,-.59444203
1,0,.50981756,.0000000,1,2,-.91894451,-.34581465E-02
1,0,.51071721,.11982108E-01,1,2,-1.4480356,-1.0286856
1,0,.51540671,.0000000,1,1,-1.6014898,-1.1683760
1,0,.52186795,.0000000,1,1,-1.0540237,.51977906
1,0,.51818178,.31587836E-02,1,3,-.92636445,-.12186806
1,0,.51850205,.16771291E-01,1,2,-.93382080,-.17252401
1,0,.51455453,.0000000,1,3,-.91894693,-.40990338E-02
1,0,.50797641,.75420171E-02,1,2,-1.7150339,-1.2618204
1,0,.51369761,.0000000,1,1,-.95106531,.25348285
1,0,.51471148,.36552378E-02,1,2,-1.2842971,.85481992
1,0,.50236316,.0000000,1,8,-.92916831,.14303688
1,0,.50311344,.0000000,1,2,-1.4364570,-1.0173677
1,0,.50306009,.29197581E-01,1,2,-1.0988323,-.59982286
1,0,.49871888,.0000000,1,1,-3.8383965,-2.4163849
1,0,.49485361,.46081052E-02,1,4,-1.1558851,-.68839892
1,0,.49674878,.0000000,1,2,-.92431299,.10367693
1,0,.49782168,.68800435E-02,1,1,-1.4143212,-.99537192
1,0,.49897303,.0000000,1,1,-1.8870174,-1.3914588
1,0,.50352782,.0000000,1,1,-1.0398463,-.49174743
1,0,.50623226,.72750879E-02,1,2,-1.0526367,-.51710370
1,0,.49375152,.0000000,1,6,-2.4283847,-1.7374960
1,0,.49800571,.0000000,1,1,-.94637743,-.23426011
1,0,.48682673,.23745582E-01,1,4,-1.7610851,1.2978032
1,0,.49096522,.70045854E-02,1,1,-1.4757677,1.0553001
1,0,.49503750,.0000000,1,1,-.92474070,-.10772343
1,0,.48273621,.29723663E-02,1,4,-2.4403384,-1.7443623
1,0,.48301474,.0000000,1,2,-1.2703230,-.83831312
1,0,.48217623,.36287601E-02,1,1,-2.2582926,-1.6366759
1,0,.48244640,.0000000,1,2,-1.9634433,-1.4453406
1,0,.48458415,.0000000,1,1,-2.2234558,-1.6152506
1,0,.48837397,.54625553E-02,1,1,-1.9894668,-1.4632350
1,0,.49210847,.0000000,1,1,-1.4407836,-1.0216115
1,0,.48354079,.17705731E-02,1,3,-2.7254920,-1.9008175
1,0,.48649330,.0000000,1,2,-1.8574461,1.3700420
1,0,.48375854,.67112155E-02,1,3,-1.0678742,-.54577598
1,0,.48720921,.0000000,1,1,-1.0803963,.56825655
1,0,.48904320,.0000000,1,1,-1.3590449,.93819654
1,0,.49437684,.32701684E-02,1,3,-.94959775,-.24762559
1,0,.49507882,.90158018E-02,1,6,-.91999140,-.45888309E-01
1,0,.49819575,.0000000,1,1,-.93567698,.18296693
1,0,.49691398,.0000000,1,1,-2.1541715,1.5717716
1,0,.49765443,.0000000,1,1,-2.6408803,1.8557703
1,0,.50079409,.65608329E-03,1,1,-1.6714283,1.2267761
1,0,.49444747,.0000000,1,5,-1.3717518,.95164409
1,0,.49749297,.0000000,1,1,-1.0868347,.57947594
1,0,.50050199,.0000000,1,1,-.92001886,-.46482755E-01
1,0,.49043573,.53321792E-02,1,4,-2.5117998,-1.7848593
1,0,.49165074,.72934387E-03,1,2,-1.1211338,-.63591705
1,0,.49457228,.0000000,1,1,-1.1152277,-.62656072
1,0,.49552389,.0000000,1,1,-1.5290737,1.1046585
1,0,.49260788,.84850421E-02,1,3,-2.7484856,-1.9128759
1,0,.49345596,.0000000,1,1,-3.1878996,-2.1302399
1,0,.49627010,.16690253E-02,1,1,-2.0322951,-1.4922175
1,0,.49378920,.0000000,1,4,-1.5956911,1.1634024
1,0,.49629010,.0000000,1,1,-1.6402122,1.2010609
1,0,.49633919,.0000000,1,2,-.99394168,-.38730645
1,0,.49894322,.20454275E-03,1,1,-1.0081447,-.42238882
1,0,.50054475,.0000000,1,1,-1.2292499,-.78779609
1,0,.50152492,.0000000,1,1,-1.6049945,1.1713718
1,0,.50181932,.36024071E-03,1,3,-1.0689934,.54782277
1,0,.50229561,.0000000,1,1,-1.5894989,1.1580677
1,0,.50276592,.50911910E-02,1,2,-1.2516818,.81577357
1,0,.50460524,.0000000,1,1,-1.3965770,.97738266
1,0,.50357738,.34213111E-02,1,3,-.95069093,-.25200155
1,0,.50548310,.0000000,1,1,-1.0710203,-.55151022
1,0,.50555900,.0000000,1,2,-1.0608559,-.53276140
1,0,.50400061,.15345982E-02,1,1,-2.7340485,-1.9053136
1,0,.50309583,.0000000,1,3,-1.6050563,-1.1714246
1,0,.50309650,.40111497E-02,1,2,-.98034462,-.35044568
1,0,.50452922,.0000000,1,1,-1.1985404,-.74779931
1,0,.50448747,.60767169E-02,1,2,-1.0705770,-.55070591
1,0,.50610959,.0000000,1,1,-1.2330973,-.79266478
1,0,.50708010,.0000000,1,2,-.95492858,.26829108
1,0,.50587902,.32281116E-02,1,1,-2.3506732,1.6921789
1,0,.50268281,.0000000,1,3,-2.8813347,1.9811088
1,0,.50494334,.15228484E-01,1,1,-1.3992634,-.98012737
1,0,.50683646,.0000000,1,1,-1.4790399,-1.0583963
1,0,.50337588,.10428479E-02,1,4,-1.0533941,.51856636
1,0,.50557333,.0000000,1,1,-.99670619,.39437965
1,0,.50526335,.29750653E-02,1,2,-1.1104199,-.61883989
1,0,.50637823,.0000000,1,1,-1.3841047,.96453741
1,0,.50844859,.0000000,1,1,-1.4016993,.98260956
1,0,.50982770,.0000000,1,1,-1.5916210,1.1598987
1,0,.51137594,.38811219E-02,1,1,-1.7320111,1.2752040
1,0,.51347304,.0000000,1,1,-1.2029815,-.75371469
1,0,.51435732,.0000000,1,1,-1.5309365,1.1063435
1,0,.51489052,.72402111E-03,1,2,-.96134902,-.29124040
1,0,.51498277,.0000000,1,1,-1.5835634,-1.1529310
1,0,.51702066,.0000000,1,1,-1.1179522,.63089404
1,0,.51904150,.0000000,1,1,-.92427611,-.10332064
1,0,.52094228,.15635993E-02,1,1,-.94935855,-.24665772
1,0,.52295294,.0000000,1,3,-.91942020,-.31037717E-01
1,0,.52319137,.33558685E-02,1,1,-1.4622005,1.0423646
1,0,.52513753,.0000000,1,1,-.93748757,.19260861
1,0,.52501692,.0000000,1,1,-1.6397385,-1.2006665
1,0,.52262773,.22578944E-02,1,2,-2.4276097,-1.7370499
1,0,.52454489,.0000000,1,1,-2.0643360,-1.5135372
1,0,.52644671,.0000000,1,1,-1.4332929,-1.0142528
1,0,.52607966,.0000000,1,1,-2.2672691,-1.6421514
1,0,.52338991,.73021673E-02,1,4,-1.5318140,1.1071363
1,0,.52525167,.15027971E-02,1,1,-.93306214,-.16806908
1,0,.52526724,.0000000,1,3,-.96569243,-.30579046
1,0,.52705951,.46484132E-02,1,1,-.97447496,.33327594
1,0,.52758213,.0000000,1,2,-.94386311,-.22326925
1,0,.52605610,.52239741E-02,1,3,-.98059617,-.35116274
1,0,.52246797,.51202319E-02,1,5,-.99775431,-.39702841
1,0,.52423008,.0000000,1,1,-.92460021,.10641126
1,0,.52435844,.15896102E-02,1,1,-1.5059489,1.0835223
1,0,.52290729,.0000000,1,4,-1.4170093,.99806894
1,0,.52305346,.0000000,1,2,-.93804442,.19547831
1,0,.52284982,.45643792E-02,1,2,-.95182317,-.25645519
1,0,.52275701,.0000000,1,3,-.94861344,.24361818
1,0,.52425812,.47430412E-02,1,1,-1.0008827,.40483120
